C,gamma,degree,coef0,accuracy,precision,recall,f1
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.1,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.1,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
0.1,0.01,3,-1,0.5643776824034334,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.5654506437768241,0.0,0.0,0.0
0.1,0.01,3,-1,0.564844587352626,0.0,0.0,0.0
